Age,ESP,Deaths,Population
<1,1000,3040,731996
1-4,4000,476,2841209
5-9,5500,278,3251147
10-14,5500,300,3179099
15-19,5500,815,3482644
20-24,6000,1321,3837723
25-29,6000,1612,3845663
30-34,6500,2215,3784899
35-39,7000,3117,3596124
40-44,7000,5403,4051716
45-49,7000,8325,4142319
50-54,7000,11402,3730455
55-59,6500,16037,3242062
60-64,6000,25101,3208354
65-69,5500,35663,2973269
70-74,5000,44766,2189361
75-79,4000,62170,1814508
80-84,2500,84551,1367810
85-89,1500,92452,831934
90+,1000,100287,465504
