age,ESP,deaths,deaths_M,deaths_F,pop,pop_M,pop_F
<1,1000,217,133,84,58547,30103,28444
 1-4,4000,37,20,17,237243,120884,116359
 5-9,5500,32,19,13,275597,141136,134461
 10-14,5500,24,17,7,281578,144068,137510
15-19,5500,91,61,30,318936,163062,155874
20-24,6000,162,107,55,371337,184746,186591
25-29,6000,281,194,87,347332,170889,176443
30-34,6500,356,257,99,332937,163308,169629
35-39,7000,453,312,141,321989,158147,163842
40-44,7000,728,436,292,385471,186196,199275
45-49,7000,1074,655,419,410266,199539,210727
50-54,7000,1556,896,660,384707,188246,196461
55-59,6500,2118,1267,851,339296,166209,173087
60-64,6000,3182,1884,1298,322623,157787,164836
65-69,5500,4344,2508,1836,285745,137350,148395
70-74,5000,5791,3172,2619,221543,101629,119914
75-79,4000,7702,3949,3753,180599,78407,102192
80-84,2500,9249,4168,5081,128627,50914,77713
85+,2500,17540,5960,11580,109227,34670,74557
